"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","3039"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-374.8146481424097"
">","EXTENTS_TOP:","-208.5408743297658"
">","EXTENTS_RIGHT:","374.8146481424097"
">","EXTENTS_BOTTOM:","208.54087432976578"
">","EXTENTS_WIDTH:","749.6292962848194"
">","EXTENTS_HEIGHT:","417.0817486595316"
">","COMMAND_JUMP","4"
">","COMMAND_STITCH","3034"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","name","BN"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#000000","Black","Anchor","403","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","763","STITCH","-142.63332125850576","198.69864650071415"
"*","764","STITCH","-142.61788817778233","153.95512566976757"
"*","765","STITCH","-142.61788817778233","103.95512566976757"
"*","766","STITCH","-142.61788817778233","53.95512566976757"
"*","767","STITCH","-142.61788817778233","3.9551256697675115"
"*","768","STITCH","-142.61788817778233","-43.087749048768785"
"*","769","STITCH","-135.11788817778236","-43.308023922208804"
"*","770","STITCH","-135.11788817778236","-8.544874330232489"
"*","771","STITCH","-135.11788817778236","41.45512566976748"
"*","772","STITCH","-135.11788817778236","91.45512566976751"
"*","773","STITCH","-135.11788817778236","141.4551256697675"
"*","774","STITCH","-135.11788817778236","191.4551256697675"
"*","775","STITCH","-135.11788817778236","193.527627275882"
"*","776","STITCH","-127.61788817778236","188.89372748043283"
"*","777","STITCH","-127.61788817778236","178.9551256697675"
"*","778","STITCH","-127.61788817778236","128.9551256697675"
"*","779","STITCH","-127.61788817778236","78.95512566976751"
"*","780","STITCH","-127.61788817778236","28.955125669767483"
"*","781","STITCH","-127.61788817778236","-21.044874330232517"
"*","782","STITCH","-127.61788817778236","-43.52830072384117"
"*","783","STITCH","-126.54352317744534","-25.539652979625828"
"*","784","STITCH","-114.27922467464822","-33.1958371105425"
"*","785","STITCH","-105.11788817778233","-43.291467235271085"
"*","786","STITCH","-105.11788817778233","-8.544874330232489"
"*","787","STITCH","-105.11788817778233","-4.312062762571458"
"*","788","STITCH","-98.96454444509521","7.276219381741953"
"*","789","STITCH","-93.03263522226882","18.486755168568124"
"*","790","STITCH","-98.97915474397922","21.755971244351656"
"*","791","STITCH","-105.0962761579355","25.126014385681856"
"*","792","STITCH","-105.11788817778233","41.45512566976748"
"*","793","STITCH","-105.11788817778233","43.744563118857855"
"*","794","STITCH","-99.46216845545763","42.66287528984478"
"*","795","STITCH","-98.90050714873843","46.94254746589414"
"*","796","STITCH","-83.15764012225003","55.1311024778382"
"*","797","STITCH","-98.67591992622533","72.78617385892093"
"*","798","STITCH","-98.67591992622533","77.77515907376747"
"*","799","STITCH","-112.61788817778233","75.70731394014538"
"*","800","STITCH","-112.61788817778233","94.3085713892967"
"*","801","STITCH","-105.14036806167121","95.42424855014539"
"*","802","STITCH","-105.11788817778233","91.45512566976757"
"*","803","STITCH","-105.11788817778233","76.2910539232009"
"*","804","STITCH","-98.67591992622533","77.77515907376747"
"*","805","STITCH","-98.67591992622533","73.04493750383418"
"*","806","STITCH","-83.06568377816376","65.08834621938686"
"*","807","STITCH","-98.89324382799413","47.359478342286366"
"*","808","STITCH","-99.46216845545763","42.66287528984478"
"*","809","STITCH","-112.61788817778233","44.23951959274655"
"*","810","STITCH","-112.61788817778233","25.729503089441465"
"*","811","STITCH","-98.94334805288179","21.42619586156198"
"*","812","STITCH","-98.80385219115658","20.14145550200226"
"*","813","STITCH","-91.83327394549156","17.287393891790856"
"*","814","STITCH","-98.12966629671882","1.258114413088407"
"*","815","STITCH","-112.20931124350017","-6.690677062772778"
"*","816","STITCH","-112.61788817778233","-34.669125678454236"
"*","817","STITCH","-120.11788817778233","-28.954482740679993"
"*","818","STITCH","-120.11788817778233","-8.505299295687706"
"*","819","STITCH","-126.59242318315034","-8.651751009370855"
"*","820","STITCH","-126.31842325003893","7.490245050060764"
"*","821","STITCH","-126.04542311933366","23.632252757095813"
"*","822","STITCH","-120.14062888727906","25.20955239694564"
"*","823","STITCH","-120.11788817778233","43.62586665017116"
"*","824","STITCH","-126.54312317739866","42.41845494881915"
"*","825","STITCH","-126.54312317739866","60.21205967057247"
"*","826","STITCH","-126.54312317739866","78.00565910065913"
"*","827","STITCH","-120.14293939740594","75.97490131051913"
"*","828","STITCH","-120.11788817778233","94.98993809452261"
"*","829","STITCH","-126.54312317739866","97.72876140168748"
"*","830","STITCH","-126.53932318608392","117.44101634728511"
"*","831","STITCH","-126.53552317651202","137.15326600121247"
"*","832","STITCH","-120.1353779494066","140.43518978295126"
"*","833","STITCH","-120.11788817778233","166.45512566976745"
"*","834","STITCH","-120.11788817778233","184.4093220235434"
"*","835","STITCH","-112.61788817778233","180.52454978013915"
"*","836","STITCH","-112.61788817778233","153.95512566976757"
"*","837","STITCH","-112.61788817778233","144.65838964287408"
"*","838","STITCH","-105.11788817778233","149.67570812628648"
"*","839","STITCH","-105.11788817778233","176.64672253671992"
"*","840","STITCH","-97.61788817778233","173.3543711588292"
"*","841","STITCH","-97.61788817778233","128.9551256697675"
"*","842","STITCH","-97.61788817778233","78.95512566976751"
"*","843","STITCH","-97.61788817778233","28.95512566976751"
"*","844","STITCH","-97.61788817778233","-21.044874330232517"
"*","845","STITCH","-97.61788817778233","-55.52857019268774"
"*","846","STITCH","-85.83183117755442","-74.82230919104475"
"*","847","STITCH","-90.11788817778233","-80.03637530503542"
"*","848","STITCH","-90.11788817778233","-33.54487433023249"
"*","849","STITCH","-90.11788817778233","16.45512566976754"
"*","850","STITCH","-90.11788817778233","66.45512566976751"
"*","851","STITCH","-90.11788817778233","116.45512566976751"
"*","852","STITCH","-90.11788817778233","166.45512566976745"
"*","853","STITCH","-90.11788817778233","170.5569041008649"
"*","854","STITCH","-82.61788817778228","168.33158275691576"
"*","855","STITCH","-82.61788817778228","153.95512566976757"
"*","856","STITCH","-82.61788817778228","103.95512566976757"
"*","857","STITCH","-82.61788817778228","53.95512566976757"
"*","858","STITCH","-82.61788817778228","3.9551256697675115"
"*","859","STITCH","-82.61788817778228","-30.86620117314942"
"*","860","STITCH","-87.13401857967034","-31.540953679777516"
"*","861","STITCH","-82.63237054542412","-35.5654362840273"
"*","862","STITCH","-82.61788817778228","-46.04487433023249"
"*","863","STITCH","-82.61788817778228","-96.04487433023247"
"*","864","STITCH","-82.61788817778228","-146.04487433023246"
"*","865","STITCH","-82.61788817778228","-196.04487433023246"
"*","866","STITCH","-82.61788817778228","-206.07859797608984"
"*","867","STITCH","-90.11788817778233","-207.54243787058357"
"*","868","STITCH","-90.11788817778233","-183.54487433023246"
"*","869","STITCH","-90.11788817778233","-133.54487433023246"
"*","870","STITCH","-90.11788817778233","-99.21240385091814"
"*","871","STITCH","-92.96018801434172","-112.91916394198788"
"*","872","STITCH","-97.61788817778233","-126.07763576947349"
"*","873","STITCH","-97.61788817778233","-171.04487433023246"
"*","874","STITCH","-97.61788817778233","-202.34358169515022"
"*","875","STITCH","-105.11788817778233","-197.1447255197169"
"*","876","STITCH","-105.11788817778233","-158.54487433023246"
"*","877","STITCH","-105.11788817778233","-139.21473681671392"
"*","878","STITCH","-112.61788817778233","-146.78464774751873"
"*","879","STITCH","-112.61788817778233","-191.94586934428358"
"*","880","STITCH","-120.11788817778233","-186.74701316885023"
"*","881","STITCH","-120.11788817778233","-183.54487433023246"
"*","882","STITCH","-120.11788817778233","-152.68689854508625"
"*","883","STITCH","-127.61788817778236","-156.8747737496106"
"*","884","STITCH","-127.61788817778236","-171.04487433023246"
"*","885","STITCH","-127.61788817778236","-181.54815699341688"
"*","886","STITCH","-135.11788817778236","-176.34930081798356"
"*","887","STITCH","-135.11788817778236","-158.54487433023246"
"*","888","STITCH","-135.11788817778236","-152.78390125318845"
"*","889","STITCH","-142.61788817778233","-147.66279117386694"
"*","890","STITCH","-142.61788817778233","-171.15044464255024"
"*","891","STITCH","-150.11788817778236","-165.9515884671169"
"*","892","STITCH","-150.11788817778236","-142.55357591502258"
"*","893","STITCH","-157.61788817778236","-137.44436065617828"
"*","894","STITCH","-157.61788817778236","-160.72796766286015"
"*","895","STITCH","-165.11788817778233","-155.49174604569774"
"*","896","STITCH","-165.11788817778233","-132.35292560193298"
"*","897","STITCH","-182.55546043874517","-117.81462402605732"
"*","898","STITCH","-192.39637313563745","-97.36298135291842"
"*","899","STITCH","-193.25404825636198","-74.7314894961668"
"*","900","STITCH","-193.7688482259501","-52.11512205568408"
"*","901","STITCH","-197.14011303852263","-29.75367957241346"
"*","902","STITCH","-200.12476140116132","-7.337853472562813"
"*","903","STITCH","-198.76307342141698","15.232864961791961"
"*","904","STITCH","-188.04346858367947","35.09654724155129"
"*","905","STITCH","-172.17152918173866","50.96012510701368"
"*","906","STITCH","-170.19018289892261","64.83851403214814"
"*","907","STITCH","-172.61788817778236","72.13645575821144"
"*","908","STITCH","-172.61788817778236","53.95512566976751"
"*","909","STITCH","-172.61788817778236","3.9551256697675115"
"*","910","STITCH","-172.61788817778236","-46.04487433023249"
"*","911","STITCH","-172.61788817778236","-96.04487433023249"
"*","912","STITCH","-172.61788817778236","-146.0448743302325"
"*","913","STITCH","-172.61788817778236","-150.2555244285353"
"*","914","STITCH","-180.11788817778233","-145.01930281137288"
"*","915","STITCH","-180.11788817778233","-133.54487433023246"
"*","916","STITCH","-180.11788817778233","-83.54487433023247"
"*","917","STITCH","-180.11788817778233","-33.54487433023249"
"*","918","STITCH","-180.11788817778233","16.45512566976754"
"*","919","STITCH","-180.11788817778233","66.45512566976751"
"*","920","STITCH","-180.11788817778233","82.04264371002401"
"*","921","STITCH","-187.61788817778236","89.45604551190584"
"*","922","STITCH","-187.61788817778236","78.95512566976751"
"*","923","STITCH","-187.61788817778236","28.95512566976754"
"*","924","STITCH","-187.61788817778236","-21.04487433023246"
"*","925","STITCH","-187.61788817778236","-71.04487433023246"
"*","926","STITCH","-187.61788817778236","-121.04487433023246"
"*","927","STITCH","-187.61788817778236","-139.78308119421047"
"*","928","STITCH","-195.11788817778236","-134.54685957704805"
"*","929","STITCH","-195.11788817778236","-108.54487433023249"
"*","930","STITCH","-195.11788817778236","-58.54487433023249"
"*","931","STITCH","-195.11788817778236","-8.544874330232489"
"*","932","STITCH","-195.11788817778236","41.45512566976754"
"*","933","STITCH","-195.11788817778236","91.45512566976751"
"*","934","STITCH","-195.11788817778236","95.9311366046729"
"*","935","STITCH","-202.61788817778233","101.32882815124319"
"*","936","STITCH","-202.61788817778233","53.95512566976751"
"*","937","STITCH","-202.61788817778233","3.9551256697675115"
"*","938","STITCH","-202.61788817778233","-46.04487433023249"
"*","939","STITCH","-202.61788817778233","-96.04487433023247"
"*","940","STITCH","-202.61788817778233","-129.22827158768945"
"*","941","STITCH","-210.11788817778236","-123.83231212530818"
"*","942","STITCH","-210.11788817778236","-83.54487433023247"
"*","943","STITCH","-210.11788817778236","-33.54487433023249"
"*","944","STITCH","-210.11788817778236","16.45512566976754"
"*","945","STITCH","-210.11788817778236","66.45512566976751"
"*","946","STITCH","-210.11788817778236","105.63373825904992"
"*","947","STITCH","-217.61788817778236","108.98980674316263"
"*","948","STITCH","-217.61788817778236","78.95512566976751"
"*","949","STITCH","-217.61788817778236","28.95512566976754"
"*","950","STITCH","-217.61788817778236","-21.04487433023246"
"*","951","STITCH","-217.61788817778236","-71.04487433023249"
"*","952","STITCH","-217.61788817778236","-118.43635266292692"
"*","953","STITCH","-225.11788817778236","-108.91862057789668"
"*","954","STITCH","-225.11788817778236","-58.54487433023249"
"*","955","STITCH","-225.11788817778236","-8.544874330232489"
"*","956","STITCH","-225.11788817778236","41.45512566976748"
"*","957","STITCH","-225.11788817778236","91.45512566976757"
"*","958","STITCH","-225.11788817778236","111.62851239541678"
"*","959","STITCH","-232.61788817778236","113.72995708986556"
"*","960","STITCH","-232.61788817778236","103.95512566976757"
"*","961","STITCH","-232.61788817778236","101.82497072621206"
"*","962","STITCH","-229.80252704982874","78.38645893625196"
"*","963","STITCH","-229.59921227198433","54.803863030637245"
"*","964","STITCH","-229.39589749794158","31.221267565978337"
"*","965","STITCH","-229.19258272846082","7.638672630466459"
"*","966","STITCH","-229.0266580094506","-15.944214355154571"
"*","967","STITCH","-228.89826685120818","-39.527324749752495"
"*","968","STITCH","-228.76987570016783","-63.1104338214534"
"*","969","STITCH","-228.64148457793596","-86.69353760156605"
"*","970","STITCH","-198.6419291576664","-86.53021403640312"
"*","971","STITCH","-198.90539876357366","-38.13566034117622"
"*","972","STITCH","-199.21552614921913","10.258615524387551"
"*","973","STITCH","-199.63775441514377","58.65198383046399"
"*","974","STITCH","-196.5752567598094","32.34145870973978"
"*","975","STITCH","-196.41608991058123","-10.71153989001047"
"*","976","STITCH","-196.31081778681119","-53.764702681890356"
"*","977","STITCH","-196.29256170440047","-96.81793055087549"
"*","978","STITCH","-198.62831886056952","-89.0301769880912"
"*","979","STITCH","-201.11013474946168","-92.37707122077234"
"*","980","STITCH","-195.1863395490117","-100.69108725953494"
"*","981","STITCH","-193.7904938672691","-101.69397047466592"
"*","982","STITCH","-193.80846707223108","-59.30785107868715"
"*","983","STITCH","-193.89311345768442","-16.92181327481495"
"*","984","STITCH","-194.04981368614898","25.46398973240315"
"*","985","STITCH","-197.05070108895822","59.41172892168905"
"*","986","STITCH","-202.19593800262933","65.30974506594904"
"*","987","STITCH","-201.80682451062412","20.71180113096608"
"*","988","STITCH","-201.48301019229626","-23.886663844366637"
"*","989","STITCH","-201.24020461781595","-68.4856124449993"
"*","990","STITCH","-201.81538762023013","-99.0066291285067"
"*","991","STITCH","-191.2884260301377","-106.57001039845635"
"*","992","STITCH","-191.30776110474764","-60.972200621091815"
"*","993","STITCH","-191.3988168663933","-15.374478542498593"
"*","994","STITCH","-191.56739061972615","30.22299103983437"
"*","995","STITCH","-194.7161316837823","60.38732968819218"
"*","996","STITCH","-204.7478010316543","71.24308034947731"
"*","997","STITCH","-204.32986367584462","23.341511409572377"
"*","998","STITCH","-203.979378210965","-24.560597666965037"
"*","999","STITCH","-203.71858663527945","-72.46324613116323"
"*","1000","STITCH","-204.3932991707225","-99.85949066850394"
"*","1001","STITCH","-188.78635819300635","-111.44605032224679"
"*","1002","STITCH","-188.80703321741868","-62.688243625721384"
"*","1003","STITCH","-188.90413805610953","-13.93053012355523"
"*","1004","STITCH","-189.084394225133","34.826912963362815"
"*","1005","STITCH","-192.45918092108178","61.482819761249715"
"*","1006","STITCH","-207.29705231858048","76.87707281893225"
"*","1007","STITCH","-206.94018732782013","35.975266077995485"
"*","1008","STITCH","-206.58630684593535","-4.9265659321647775"
"*","1009","STITCH","-206.36362409111337","-45.829320153564254"
"*","1010","STITCH","-207.46090291047116","-86.71795869136135"
"*","1011","STITCH","-206.1997550719617","-101.75442242210545"
"*","1012","STITCH","-186.284290355875","-116.32209024603722"
"*","1013","STITCH","-186.30187827335973","-74.84459238128758"
"*","1014","STITCH","-186.3322640021511","-33.36710257909053"
"*","1015","STITCH","-186.48560516512063","8.110107698212516"
"*","1016","STITCH","-186.8505377832408","49.585994672954456"
"*","1017","STITCH","-193.28529910275995","66.73880867010567"
"*","1018","STITCH","-209.84252171633764","82.07760696685531"
"*","1019","STITCH","-209.46397944012162","38.691274807808924"
"*","1020","STITCH","-209.08760417466348","-4.6950755426279045"
"*","1021","STITCH","-208.85139485105296","-48.08241335496567"
"*","1022","STITCH","-210.88471034564247","-88.6046827592937"
"*","1023","STITCH","-207.8603157239024","-103.7166427233821"
"*","1024","STITCH","-183.7822565286298","-121.11792482536582"
"*","1025","STITCH","-183.8008842449989","-77.18827445058949"
"*","1026","STITCH","-183.8326479319763","-33.25863227136361"
"*","1027","STITCH","-183.99505463601074","10.67071379090791"
"*","1028","STITCH","-184.59233902059268","54.59629809584047"
"*","1029","STITCH","-196.73642859105388","74.04615206326193"
"*","1030","STITCH","-212.6053549564809","86.94994555076121"
"*","1031","STITCH","-211.98081092467748","41.14585965721713"
"*","1032","STITCH","-211.58783401904066","-4.659662528180775"
"*","1033","STITCH","-211.3384541459763","-50.46618968322997"
"*","1034","STITCH","-213.40509613480268","-88.65970078116733"
"*","1035","STITCH","-210.35186173810408","-104.57128736454528"
"*","1036","STITCH","-181.2802227013846","-125.91375940469439"
"*","1037","STITCH","-181.29987130440654","-79.57655714095407"
"*","1038","STITCH","-181.33270208573677","-33.23936300343732"
"*","1039","STITCH","-181.50400944403373","13.097518656603768"
"*","1040","STITCH","-183.0755445216343","59.40805852699427"
"*","1041","STITCH","-203.392715726217","83.35131830649962"
"*","1042","STITCH","-215.3473758183537","91.43120550540417"
"*","1043","STITCH","-214.49937495769882","43.28833579314488"
"*","1044","STITCH","-214.0867895975762","-4.858308871288244"
"*","1045","STITCH","-213.82466393033857","-53.00600558319735"
"*","1046","STITCH","-215.93082983017217","-88.72556179333306"
"*","1047","STITCH","-212.88510755335273","-105.16750390701826"
"*","1048","STITCH","-178.7781888741394","-130.70959398402294"
"*","1049","STITCH","-178.79884693762784","-81.9917861493622"
"*","1050","STITCH","-178.83255699894613","-33.27398625904817"
"*","1051","STITCH","-179.01266539200302","15.443484946075557"
"*","1052","STITCH","-182.15712066927375","63.71726380325404"
"*","1053","STITCH","-208.98612946860166","90.55828216429276"
"*","1054","STITCH","-218.076148885939","95.6635304674488"
"*","1055","STITCH","-217.08871131899744","53.639734255123386"
"*","1056","STITCH","-216.7263372101999","11.607756722383328"
"*","1057","STITCH","-216.4476372506544","-30.424858245438628"
"*","1058","STITCH","-216.21880176439592","-72.45775683719333"
"*","1059","STITCH","-216.96598852709442","-102.96048624906409"
"*","1060","STITCH","-199.9232593825525","-118.84776227760709"
"*","1061","STITCH","-176.2761550468942","-135.50542856335156"
"*","1062","STITCH","-176.29423931007295","-92.85740113008994"
"*","1063","STITCH","-176.31232357302733","-50.209374225994964"
"*","1064","STITCH","-176.4275989244625","-7.561499941025744"
"*","1065","STITCH","-176.58526746559983","35.086221702834905"
"*","1066","STITCH","-180.26390509906682","65.42575981894421"
"*","1067","STITCH","-198.3572536968656","85.71669945457026"
"*","1068","STITCH","-221.33150812866396","99.70443872402862"
"*","1069","STITCH","-219.56084399911842","50.396611545708"
"*","1070","STITCH","-219.13555381553311","1.0669629660411317"
"*","1071","STITCH","-218.85055611204956","-48.26369518419102"
"*","1072","STITCH","-220.8855769871779","-88.66118154616392"
"*","1073","STITCH","-218.0469154060079","-106.19060491210173"
"*","1074","STITCH","-181.18611154878224","-135.1264866109993"
"*","1075","STITCH","-142.85109612261013","-161.86310552814385"
"*","1076","STITCH","-128.8603280470126","-168.5550978571255"
"*","1077","STITCH","-90.25575829572955","-169.1872738228276"
"*","1078","STITCH","-71.65554562802089","-146.83527798814714"
"*","1079","STITCH","-68.43382136592072","-140.38201119098358"
"*","1080","STITCH","-80.99070244278448","-166.17462026735757"
"*","1081","STITCH","-85.99131569622","-170.8582688113156"
"*","1082","STITCH","-90.34763605945392","-170.88044568803676"
"*","1083","STITCH","-85.96238039540646","-173.9202208200217"
"*","1084","STITCH","-69.21544008259485","-152.0096860364934"
"*","1085","STITCH","-65.34552673997217","-125.3399287399847"
"*","1086","STITCH","-76.57112392556263","-150.4372168697651"
"*","1087","STITCH","-94.38166804719128","-171.12602668625402"
"*","1088","STITCH","-85.96568684390832","-176.95982346638982"
"*","1089","STITCH","-67.91228994695012","-155.2410330751749"
"*","1090","STITCH","-62.827263980933765","-125.42448055664859"
"*","1091","STITCH","-64.69389591502892","-113.81578629597094"
"*","1092","STITCH","-76.65281038063671","-145.6510658728252"
"*","1093","STITCH","-98.41570003492865","-171.37160768447126"
"*","1094","STITCH","-86.08227507012737","-179.9209013568047"
"*","1095","STITCH","-67.15371649408672","-159.2155001084041"
"*","1096","STITCH","-60.25212172558315","-131.34434002998142"
"*","1097","STITCH","-65.3419035027635","-103.04708939678095"
"*","1098","STITCH","-77.25684960409473","-141.2639996966811"
"*","1099","STITCH","-97.68219221457775","-166.9606564636764"
"*","1100","STITCH","-102.64535562803769","-171.48158615084225"
"*","1101","STITCH","-86.19886329634642","-182.8819792472196"
"*","1102","STITCH","-66.31657905611587","-162.8964119521673"
"*","1103","STITCH","-57.84504088330357","-134.49242127319087"
"*","1104","STITCH","-63.78475915318393","-100.03146204598211"
"*","1105","STITCH","-67.05188481325774","-92.4819344105952"
"*","1106","STITCH","-76.04131843772285","-132.66866003355386"
"*","1107","STITCH","-88.59176665838692","-154.51072815809934"
"*","1108","STITCH","-106.92096880023303","-171.5597077047011"
"*","1109","STITCH","-86.38539271913271","-185.794575241409"
"*","1110","STITCH","-65.65464687702729","-166.52971612012558"
"*","1111","STITCH","-55.65371329631796","-138.31630841725166"
"*","1112","STITCH","-58.27872137456069","-108.939360777096"
"*","1113","STITCH","-69.72534534219841","-82.09230892498293"
"*","1114","STITCH","-73.12837734114487","-116.37655349448968"
"*","1115","STITCH","-86.8699858311366","-147.88025283719497"
"*","1116","STITCH","-111.25116645206549","-171.59999234402073"
"*","1117","STITCH","-86.6356087541771","-188.6630248972744"
"*","1118","STITCH","-64.81825754837973","-169.82378397388536"
"*","1119","STITCH","-53.34419304898125","-140.7156478653037"
"*","1120","STITCH","-56.65266214639553","-105.5020490436099"
"*","1121","STITCH","-73.66357809418429","-71.26732665565763"
"*","1122","STITCH","-74.11779792558332","-109.78576663906617"
"*","1123","STITCH","-88.27789387459302","-145.4774654117507"
"*","1124","STITCH","-115.88236832730894","-171.43162662791215"
"*","1125","STITCH","-86.88582478922154","-191.53147455313973"
"*","1126","STITCH","-64.25850131616494","-173.33501420997382"
"*","1127","STITCH","-51.12614258395064","-143.02651384365618"
"*","1128","STITCH","-53.39695408010749","-107.82790592219759"
"*","1129","STITCH","-63.989903818965104","-82.1382042626584"
"*","1130","STITCH","-79.67677085733402","-59.36890459780443"
"*","1131","STITCH","-74.82094414587743","-96.01462844210327"
"*","1132","STITCH","-85.33915529483903","-135.06530029446412"
"*","1133","STITCH","-100.30645091521228","-155.90587350381804"
"*","1134","STITCH","-120.57363014917212","-171.22162850855284"
"*","1135","STITCH","-87.13604082426593","-194.39992420900512"
"*","1136","STITCH","-63.435948517478835","-176.34502069878096"
"*","1137","STITCH","-49.110058823604334","-145.87248402761122"
"*","1138","STITCH","-50.205171866641194","-109.92769233709761"
"*","1139","STITCH","-64.56771079312568","-76.11147602563136"
"*","1140","STITCH","-87.48118320927813","-47.77604946176848"
"*","1141","STITCH","-77.21629889165268","-82.66764041530261"
"*","1142","STITCH","-81.43593835542595","-118.03295448565132"
"*","1143","STITCH","-97.66690556573207","-149.61663653768923"
"*","1144","STITCH","-125.5259855468081","-170.83064532935722"
"*","1145","STITCH","-87.4283044561057","-197.2392272771023"
"*","1146","STITCH","-62.380024940034275","-179.05588855894112"
"*","1147","STITCH","-46.97070882309146","-148.05189872458885"
"*","1148","STITCH","-47.38017380298885","-110.90263555021875"
"*","1149","STITCH","-60.831526953325124","-77.51180856632243"
"*","1150","STITCH","-82.55962798651552","-48.899487671494825"
"*","1151","STITCH","-102.51842185007632","-26.84703339356625"
"*","1152","STITCH","-104.2320821526551","-21.456815938086095"
"*","1153","STITCH","-80.58954387192597","-8.410068639067248"
"*","1154","STITCH","-66.53270974658858","8.305090681611404"
"*","1155","STITCH","-68.13294300608811","33.99372905398121"
"*","1156","STITCH","-66.17591992622539","83.10841536788311"
"*","1157","STITCH","-66.22967493231812","132.09409066600497"
"*","1158","STITCH","-65.4523926970943","89.48614562412072"
"*","1159","STITCH","-65.60588295453942","47.393930598503374"
"*","1160","STITCH","-65.49639600287458","5.336416293785078"
"*","1161","STITCH","-63.100635455981944","48.5187107729503"
"*","1162","STITCH","-62.948875747727584","91.38793346394849"
"*","1163","STITCH","-62.52053377585679","134.25268767692333"
"*","1164","STITCH","-68.75374999655651","134.845364638833"
"*","1165","STITCH","-68.67591992622539","101.01625694772244"
"*","1166","STITCH","-68.67591992622539","67.1871858714479"
"*","1167","STITCH","-70.8165224421482","33.588538464616704"
"*","1168","STITCH","-68.75245648760506","0.762213265146471"
"*","1169","STITCH","-61.02423655219167","9.052952501197495"
"*","1170","STITCH","-60.586563413266845","51.54475302189948"
"*","1171","STITCH","-60.44398148015665","94.03540931193143"
"*","1172","STITCH","-59.963950947834064","136.5208741428415"
"*","1173","STITCH","-71.2778250607949","137.59663861166112"
"*","1174","STITCH","-71.17591992622539","102.70750094377487"
"*","1175","STITCH","-71.17591992622539","67.81836341091443"
"*","1176","STITCH","-73.50010187820828","33.18334787525214"
"*","1177","STITCH","-72.12287821674664","-3.1363597381948125"
"*","1178","STITCH","-58.67913003353107","6.511717674158206"
"*","1179","STITCH","-58.09076415486197","50.633894827711714"
"*","1180","STITCH","-57.94264810314763","94.75499850148444"
"*","1181","STITCH","-57.40537111822135","138.87019832885667"
"*","1182","STITCH","-73.80423598565756","140.61590942949746"
"*","1183","STITCH","-73.67591992622539","104.5774264302269"
"*","1184","STITCH","-73.67591992622539","68.53888169558084"
"*","1185","STITCH","-76.18368131426831","32.77815728588766"
"*","1186","STITCH","-74.95528464785411","0.059788012836861526"
"*","1187","STITCH","-75.85114500771078","-6.7785190761782985"
"*","1188","STITCH","-56.95892794544767","3.65612451444764"
"*","1189","STITCH","-55.59557013596742","49.59263681836458"
"*","1190","STITCH","-55.44129636100109","95.48453068226493"
"*","1191","STITCH","-54.84309347069967","141.36976401491242"
"*","1192","STITCH","-76.33107648920884","143.68446646417524"
"*","1193","STITCH","-76.17591992622539","106.48022425331922"
"*","1194","STITCH","-76.17591992622539","69.27583614856738"
"*","1195","STITCH","-78.86726075032834","32.37296669652315"
"*","1196","STITCH","-77.19182432080049","1.4003495318888213"
"*","1197","STITCH","-79.81484505469899","-10.144181381563016"
"*","1198","STITCH","-56.30901764830213","0.17138848658112238"
"*","1199","STITCH","-53.18976679025201","29.2920160936184"
"*","1200","STITCH","-53.01248473160456","67.4877176024846"
"*","1201","STITCH","-52.922453744264715","105.68372310101145"
"*","1202","STITCH","-52.23341738124424","143.86932166612203"
"*","1203","STITCH","-78.85791699276012","146.75302349885303"
"*","1204","STITCH","-78.67591992622539","108.3830350732147"
"*","1205","STITCH","-78.67591992622539","70.01279709995552"
"*","1206","STITCH","-81.55084018638843","31.96777610715867"
"*","1207","STITCH","-79.48294882294124","2.980647133449793"
"*","1208","STITCH","-84.18681627365157","-13.406364096115652"
"*","1209","STITCH","-56.40208529908119","-3.4648221421843743"
"*","1210","STITCH","-50.891311253097626","10.852197442835688"
"*","1211","STITCH","-50.56562670488569","56.03239319880939"
"*","1212","STITCH","-50.4307090444301","101.21194724436347"
"*","1213","STITCH","-49.48028511244115","146.36885499905677"
"*","1214","STITCH","-81.38475749631141","149.82158053353086"
"*","1215","STITCH","-81.17591992622539","110.28585774024603"
"*","1216","STITCH","-81.17591992622539","70.74976397491153"
"*","1217","STITCH","-84.23441962244846","31.562585517794133"
"*","1218","STITCH","-81.7310660782577","6.326753735355396"
"*","1219","STITCH","-89.80184132374694","-16.773051798105428"
"*","1220","STITCH","-56.83421828562808","-6.91760855551621"
"*","1221","STITCH","-48.6502916165291","6.656057740321728"
"*","1222","STITCH","-48.074695822278954","54.0726356955976"
"*","1223","STITCH","-47.93019493489686","101.4879803041205"
"*","1224","STITCH","-46.72715284363812","148.8683883319915"
"*","1225","STITCH","-83.91316179612977","153.069554294298"
"*","1226","STITCH","-83.67591992622533","112.30830818613188"
"*","1227","STITCH","-83.67591992622533","71.54654473929483"
"*","1228","STITCH","-86.89139314677385","31.261630116010707"
"*","1229","STITCH","-84.23679233219212","6.3496356296876115"
